2016-01-29 09:47:41,013 EST INFO   log.persistence 0985:0003 [localhost-startStop-1] **** Server Started (logVersion=1.4) ****
2016-01-29 09:47:49,251 EST INFO   log.persistence 0985:0003 [ebx-rro-77-unique] Starting repository ownership heart beat thread on entry: id=77, hostName=Susannahs-MBP, hostAddress=10.1.10.225, mode=unique, state=Not owner.
2016-01-29 09:47:52,416 EST INFO   log.persistence 0985:0003 [ebx-boot] Committed 1 changes in Java Cache; in 73 ms.
2016-01-29 09:47:58,330 EST INFO   log.persistence 0985:0003 [ebx-rro-77-unique] Heart beat #10: avgInterval=908: maxInterval=1030 ms.
2016-01-29 09:48:08,377 EST INFO   log.persistence 0985:0003 [ebx-rro-77-unique] Heart beat #20: avgInterval=956: maxInterval=1030 ms.
2016-01-29 09:51:09,119 EST INFO   log.persistence 0985:0003 [ebx-rro-77-unique] Heart beat #200: avgInterval=999: maxInterval=1030 ms.
2016-01-29 09:54:29,829 EST INFO   log.persistence 0985:0003 [ebx-rro-77-unique] Heart beat #400: avgInterval=1001: maxInterval=1030 ms.
2016-01-29 09:57:50,530 EST INFO   log.persistence 0985:0003 [ebx-rro-77-unique] Heart beat #600: avgInterval=1002: maxInterval=1030 ms.
2016-01-29 10:01:11,309 EST INFO   log.persistence 0985:0003 [ebx-rro-77-unique] Heart beat #800: avgInterval=1002: maxInterval=1030 ms.
2016-01-29 10:04:32,091 EST INFO   log.persistence 0985:0003 [ebx-rro-77-unique] Heart beat #1000: avgInterval=1002: maxInterval=1030 ms.
2016-01-29 10:05:31,370 EST INFO   log.persistence 0985:0003 [ebx-shutdown] **** Server Stopped (logVersion=1.4) ****
